notebook,source_table,source_column,destination_table,destination_column,transformation_type,transformation_expr
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),interest,balance_vc (dlc_data.db),interest,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),interest_rate,balance_vc (dlc_data.db),interest_rate,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),interest_rate,balance_vc (dlc_data.db),interest_rate,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),interest_rate,balance_vc (dlc_data.db),interest_rate,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),open_date,balance_vc (dlc_data.db),open_date,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),open_date,balance_vc (dlc_data.db),open_date,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),open_date,balance_vc (dlc_data.db),open_date,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),outstanding_principal,balance_vc (dlc_data.db),outstanding_principal,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),outstanding_principal,balance_vc (dlc_data.db),outstanding_principal,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),outstanding_principal,balance_vc (dlc_data.db),outstanding_principal,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),paid_amount,balance_vc (dlc_data.db),paid_amount,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),paid_amount,balance_vc (dlc_data.db),paid_amount,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),paid_amount,balance_vc (dlc_data.db),paid_amount,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),paid_fee,balance_vc (dlc_data.db),paid_fee,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),paid_fee,balance_vc (dlc_data.db),paid_fee,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),paid_fee,balance_vc (dlc_data.db),paid_fee,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),paid_int,balance_vc (dlc_data.db),paid_int,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),paid_int,balance_vc (dlc_data.db),paid_int,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),paid_int,balance_vc (dlc_data.db),paid_int,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),paid_os,balance_vc (dlc_data.db),paid_os,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),paid_os,balance_vc (dlc_data.db),paid_os,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),paid_os,balance_vc (dlc_data.db),paid_os,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),process_dt,balance_vc (dlc_data.db),process_dt,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),process_dt,balance_vc (dlc_data.db),process_dt,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),process_dt,balance_vc (dlc_data.db),process_dt,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),product_id,balance_vc (dlc_data.db),product_id,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),product_id,balance_vc (dlc_data.db),product_id,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),product_id,balance_vc (dlc_data.db),product_id,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),product_type,balance_vc (dlc_data.db),product_type,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),product_type,balance_vc (dlc_data.db),product_type,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),product_type,balance_vc (dlc_data.db),product_type,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),start_date,balance_vc (dlc_data.db),start_date,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),start_date,balance_vc (dlc_data.db),start_date,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),start_date,balance_vc (dlc_data.db),start_date,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),status,balance_vc (dlc_data.db),status,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),status,balance_vc (dlc_data.db),status,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),status,balance_vc (dlc_data.db),status,DIRECT,
./disbursement/cash_collection_init.ipynb,data_debtrecovery_log_90 (dlc_data.db),logid,cash_collection (dlc_data.db),logid,DIRECT,
./disbursement/cash_collection_init.ipynb,data_debtrecovery_log_90 (dlc_data.db),_LITERAL_,cash_collection (dlc_data.db),row_number,LITERAL,row_number(
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),created_at,change_band_score (dlc_data.db),created_at,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),created_at,LITERAL,"to_date(""created_at"""
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),created_at,change_band_score (dlc_data.db),created_at,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),created_at,LITERAL,"to_date(""created_at"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),created_at,change_band_score (dlc_data.db),created_at,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),created_at,LITERAL,"to_date(""created_at"""
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),created_at,change_band_score (dlc_data.db),date_key,DATE_EXPR,"date_format(col(""created_at""), ""yyyyMMdd"""
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),date_key,change_band_score (dlc_data.db),date_key,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),created_at,change_band_score (dlc_data.db),date_key,DATE_EXPR,"date_format(col(""created_at""), ""yyyyMMdd"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),created_at,change_band_score (dlc_data.db),date_key,DATE_EXPR,"date_format(col(""created_at""), ""yyyyMMdd"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),loan_code,change_band_score (dlc_data.db),loan_code,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),created_at,change_band_score (dlc_data.db),month,DATE_EXPR,"date_format(col(""created_at""), ""yyyyMM"""
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),created_at,change_band_score (dlc_data.db),month,DATE_EXPR,"date_format(col(""created_at""), ""yyyyMM"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),created_at,change_band_score (dlc_data.db),month,DATE_EXPR,"date_format(col(""created_at""), ""yyyyMM"""
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),next_created_at,change_band_score (dlc_data.db),next_created_at,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_created_at,LITERAL,"lead(""created_at"""
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),next_created_at,change_band_score (dlc_data.db),next_created_at,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_created_at,LITERAL,"lead(""created_at"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),next_created_at,change_band_score (dlc_data.db),next_created_at,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_created_at,LITERAL,"lead(""created_at"""
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_loan_code,LITERAL,"lead(""loan_code"""
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_loan_code,LITERAL,"lead(""loan_code"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_loan_code,LITERAL,"lead(""loan_code"""
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),next_score_band,change_band_score (dlc_data.db),next_score_band,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_score_band,LITERAL,"lead(""score_band"""
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),next_score_band,change_band_score (dlc_data.db),next_score_band,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_score_band,LITERAL,"lead(""score_band"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),next_score_band,change_band_score (dlc_data.db),next_score_band,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_score_band,LITERAL,"lead(""score_band"""
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),next_step_name,change_band_score (dlc_data.db),next_step_name,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_step_name,LITERAL,"lead(""step_name"""
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),next_step_name,change_band_score (dlc_data.db),next_step_name,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_step_name,LITERAL,"lead(""step_name"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),next_step_name,change_band_score (dlc_data.db),next_step_name,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_step_name,LITERAL,"lead(""step_name"""
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),next_step_number,change_band_score (dlc_data.db),next_step_number,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_step_number,LITERAL,"lead(""step_number"""
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),next_step_number,change_band_score (dlc_data.db),next_step_number,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_step_number,LITERAL,"lead(""step_number"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),next_step_number,change_band_score (dlc_data.db),next_step_number,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_step_number,LITERAL,"lead(""step_number"""
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),next_value,change_band_score (dlc_data.db),next_value,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_value,LITERAL,"lead(""value"""
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),next_value,change_band_score (dlc_data.db),next_value,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_value,LITERAL,"lead(""value"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),next_value,change_band_score (dlc_data.db),next_value,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),_LITERAL_,change_band_score (dlc_data.db),next_value,LITERAL,"lead(""value"""
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),score_band,change_band_score (dlc_data.db),score_band,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),utm_campaign,change_band_score (dlc_data.db),score_band,CONDITIONAL,"F.when(F.col(""utm_campaign"") == ""1519997869788630282"", ""B6"""
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),score_band,change_band_score (dlc_data.db),score_band,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),utm_campaign,change_band_score (dlc_data.db),score_band,CONDITIONAL,"F.when(F.col(""utm_campaign"") == ""1519997869788630282"", ""B6"""
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),score_band,change_band_score (dlc_data.db),score_band,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),utm_term,change_band_score (dlc_data.db),score_band,EXPRESSION,col('utm_term'
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),session_id,change_band_score (dlc_data.db),session_id,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),session_id,change_band_score (dlc_data.db),session_id,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),session_id,change_band_score (dlc_data.db),session_id,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),source,change_band_score (dlc_data.db),source,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),step_name,change_band_score (dlc_data.db),step_name,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),step_name,change_band_score (dlc_data.db),step_name,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),step_name,change_band_score (dlc_data.db),step_name,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),step_number,change_band_score (dlc_data.db),step_number,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),step_number,change_band_score (dlc_data.db),step_number,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),step_number,change_band_score (dlc_data.db),step_number,DIRECT,
./dop/change_band_score_daily.ipynb,dop_customer_log_step (dlc_data.db),value,change_band_score (dlc_data.db),value,DIRECT,
./dop/change_band_score_init.ipynb,dop_customer_log_step (dlc_data.db),value,change_band_score (dlc_data.db),value,DIRECT,
./dop/change_band_score_daily_v2.ipynb,dop_customer_log_step (dlc_data.db),value,change_band_score (dlc_data.db),value,DIRECT,
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),check_diff_interest_lms,check_momo_scheme (dlc_data.db),check_diff_interest_lms,DIRECT,
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),lms_intrate,check_momo_scheme (dlc_data.db),check_diff_interest_lms,CONDITIONAL,"when(col('lms_intrate')!=col('interestrate'), lit(1"
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),interestrate,check_momo_scheme (dlc_data.db),check_diff_interest_lms,CONDITIONAL,"when(col('lms_intrate')!=col('interestrate'), lit(1"
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),_LITERAL_,check_momo_scheme (dlc_data.db),check_diff_interest_lms,LITERAL,lit(1
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),contractcode,check_momo_scheme (dlc_data.db),contractcode,DIRECT,
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),error,check_momo_scheme (dlc_data.db),error,DIRECT,
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),_LITERAL_,check_momo_scheme (dlc_data.db),error,LITERAL,"when(col("""""
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),reloanevent,check_momo_scheme (dlc_data.db),error,CONDITIONAL,"when(((col('updated_on')>=20250406) & (col('momo_score') >= 633) & (col('reloanevent')==0) & (col(""loan_term"")==1) & (col(""interestrate"")!=0"
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),updated_on,check_momo_scheme (dlc_data.db),error,CONDITIONAL,"when(((col('updated_on')>=20250406) & (col('momo_score') >= 633) & (col('reloanevent')==0) & (col(""loan_term"")==1) & (col(""interestrate"")!=0"
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),loan_term,check_momo_scheme (dlc_data.db),error,CONDITIONAL,"when(((col('updated_on')>=20250406) & (col('momo_score') >= 633) & (col('reloanevent')==0) & (col(""loan_term"")==1) & (col(""interestrate"")!=0"
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),interestrate,check_momo_scheme (dlc_data.db),error,CONDITIONAL,"when(((col('updated_on')>=20250406) & (col('momo_score') >= 633) & (col('reloanevent')==0) & (col(""loan_term"")==1) & (col(""interestrate"")!=0"
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),momo_score,check_momo_scheme (dlc_data.db),error,CONDITIONAL,"when(((col('updated_on')>=20250406) & (col('momo_score') >= 633) & (col('reloanevent')==0) & (col(""loan_term"")==1) & (col(""interestrate"")!=0"
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),pilot,check_momo_scheme (dlc_data.db),error,CONDITIONAL,"when(((col(""pilot"")==""MomoPilot.633_696969.20250604"") & (col(""interestrate"")!=0"
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),error_interestrate,check_momo_scheme (dlc_data.db),error_interestrate,DIRECT,
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),_LITERAL_,check_momo_scheme (dlc_data.db),error_interestrate,LITERAL,lit('interestrate'
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),_LITERAL_,check_momo_scheme (dlc_data.db),error_matrix_tenor,LITERAL,"lit(""loan_term"""
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),error_max_amount,check_momo_scheme (dlc_data.db),error_max_amount,DIRECT,
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),_LITERAL_,check_momo_scheme (dlc_data.db),error_max_amount,LITERAL,lit('loan_amount'
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),error_max_amount_interestrate,check_momo_scheme (dlc_data.db),error_max_amount_interestrate,DIRECT,
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),_LITERAL_,check_momo_scheme (dlc_data.db),error_max_amount_interestrate,LITERAL,lit('loan_amount and interestrate'
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),from_at,check_momo_scheme (dlc_data.db),from_at,DIRECT,
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),int_rate,check_momo_scheme (dlc_data.db),int_rate,DIRECT,
./matrix_tenor/momo_scheme_daily.ipynb,loan_by_utm_source (vc_fi_data.db),int_rate_correct,check_momo_scheme (dlc_data.db),int_rate_correct,DIRECT,
